queryId,queryKey,precursorMz,candidateAccession,candidateName,compoundId,spectrumId,hmdbSpectrumId,spectrumType,polarity,label,labelType,usableTargetAccessions,isBestTargetSpectrumByCosine,cosineSimilarity,absoluteMassErrorPpm,matchedPeaks,queryCoverage,libraryCoverage,balancedCoverage,cosineRank,precursorMassRank,bestAdductLabel,bestTheoreticalMz,massErrorDa,massErrorPpm,cosinePercent,totalQueryPeaks,totalLibraryPeaks,clientScore,clientFragmentationScore,clientMassErrorPpm,clientComputedMassErrorDeltaPpm,clientComputedAbsoluteMassErrorDeltaPpm,clientIsotopeSimilarity,clientRetentionTimeMinutes,clientCharge,clientFormula,clientDescription,clientAdductLabels,warningsJson,clientMetadataJson
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1835034,2243696,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.11435386487785293,3.749643135478518,3,0.06,0.1875,0.10606601717798213,11,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,11.435386487785292,50,16,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1802999,445231,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.11435219086498842,3.749643135478518,3,0.06,0.1875,0.10606601717798213,12,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,11.435219086498842,50,16,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1805612,448080,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.0980902938097822,3.749643135478518,3,0.06,0.3333333333333333,0.1414213562373095,13,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,9.80902938097822,50,9,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001901,Aminocaproic acid,1251,1791448,5596,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.09808336521582466,3.749643135478518,3,0.06,0.3333333333333333,0.1414213562373095,14,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,9.808336521582465,50,9,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001645,L-Norleucine,1194,1791314,5437,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.09339826686901961,3.749643135478518,3,0.06,0.5,0.1732050807568877,15,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,9.339826686901961,50,6,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001645,L-Norleucine,1194,1835545,2244207,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.09327337618187025,3.749643135478518,3,0.06,0.5,0.1732050807568877,16,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,9.327337618187025,50,6,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0001645,L-Norleucine,1194,1805575,448038,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.09326631930148861,3.749643135478518,3,0.06,0.5,0.1732050807568877,17,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,9.326631930148862,50,6,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000172,L-Isoleucine,111,1829068,2237730,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,True,0.08386663511073535,3.749643135478518,3,0.06,0.3333333333333333,0.1414213562373095,18,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,8.386663511073534,50,9,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0000687,L-Leucine,533,1828305,2236967,Experimental,positive,1,confirmed_positive,HMDB0011749;HMDB0000687;HMDB0000172,True,0.08386663511073535,3.749643135478518,3,0.06,0.3333333333333333,0.1414213562373095,19,8,[M+H]+,132.10190466499998,-0.0004953350000107548,-3.749643135478518,8.386663511073534,50,9,37.8,0,4.98646808562141,-8.736111221099929,1.2368249501428918,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
1.08_132.1024m/z,1.08_132.1024m/z,132.1024,HMDB0256556,Pinacidil,170246,1846139,2254801,Experimental,positive,0,weak_negative,HMDB0011749;HMDB0000687;HMDB0000172,False,0.0726391379279149,1.308195566121712,2,0.04,0.18181818181818182,0.08528028654224416,20,5,[M+H+NH4]2+,132.10257281600002,0.00017281600003116182,1.308195566121712,7.263913792791491,50,11,37.8,0,4.98646808562141,-3.678272519499698,3.678272519499698,94.7984125145605,1.08491666666667,1,C5H9NO,2-Piperidinone,M+CH3OH+H,[],"{""score"":37.8,""fragmentationScore"":0,""massErrorPpm"":4.98646808562141,""isotopeSimilarity"":94.7984125145605,""retentionTimeMinutes"":1.08491666666667,""charge"":1,""formula"":""C5H9NO"",""description"":""2-Piperidinone"",""adductLabels"":""M+CH3OH+H""}"
